primaryTitle,startYear,runtimeMinutes,genres,numVotes,averageRating,r1,r2
The Shawshank Redemption,1994,142,Drama,2945015,9,1,1
The Dark Knight,2008,152,"Action,Crime,Drama",2925204,9,2,2
Inception,2010,148,"Action,Adventure,Sci-Fi",2597348,9,3,3
Fight Club,1999,139,Drama,2377128,9,4,4
Forrest Gump,1994,142,"Drama,Romance",2303433,9,5,5
Pulp Fiction,1994,154,"Crime,Drama",2261648,9,6,6
Interstellar,2014,169,"Adventure,Drama,Sci-Fi",2164624,9,7,7
The Matrix,1999,136,"Action,Sci-Fi",2091181,9,8,8
The Godfather,1972,175,"Crime,Drama",2052782,9,9,9
The Lord of the Rings: The Fellowship of the Ring,2001,178,"Action,Adventure,Drama",2044983,9,10,10
The Lord of the Rings: The Return of the King,2003,201,"Action,Adventure,Drama",2015649,9,11,11
Se7en,1995,127,"Crime,Drama,Mystery",1837922,9,12,13
The Lord of the Rings: The Two Towers,2002,179,"Action,Adventure,Drama",1817343,9,13,14
Django Unchained,2012,165,"Comedy,Drama,Western",1730343,9,14,15
Gladiator,2000,155,"Action,Adventure,Drama",1659672,9,15,16
The Silence of the Lambs,1991,118,"Crime,Drama,Thriller",1579256,9,16,20
Saving Private Ryan,1998,169,"Drama,War",1522520,9,17,22
Schindler's List,1993,195,"Biography,Drama,History",1477250,9,18,25
Star Wars: Episode IV - A New Hope,1977,121,"Action,Adventure,Fantasy",1472063,9,19,26
The Prestige,2006,130,"Drama,Mystery,Sci-Fi",1467981,9,20,27
The Departed,2006,151,"Crime,Drama,Thriller",1445592,9,21,28
The Green Mile,1999,189,"Crime,Drama,Fantasy",1435111,9,22,29
Star Wars: Episode V - The Empire Strikes Back,1980,124,"Action,Adventure,Fantasy",1402513,9,23,31
The Godfather Part II,1974,202,"Crime,Drama",1387487,9,24,32
Back to the Future,1985,116,"Adventure,Comedy,Sci-Fi",1334284,9,25,34
Goodfellas,1990,145,"Biography,Crime,Drama",1281581,9,26,38
Léon: The Professional,1994,110,"Action,Crime,Drama",1267254,9,27,39
American History X,1998,119,"Crime,Drama",1203199,9,28,46
Terminator 2: Judgment Day,1991,137,"Action,Adventure,Sci-Fi",1195287,9,29,47
The Lion King,1994,88,"Adventure,Animation,Drama",1164256,9,30,50
The Usual Suspects,1995,106,"Crime,Drama,Mystery",1161192,9,31,51
One Flew Over the Cuckoo's Nest,1975,133,Drama,1087573,9,32,65
Whiplash,2014,106,"Drama,Music",1019719,9,33,70
Parasite,2019,132,"Drama,Thriller",995185,9,34,74
Alien,1979,117,"Horror,Sci-Fi",981954,9,35,76
The Intouchables,2011,112,"Comedy,Drama",946306,9,36,79
The Pianist,2002,150,"Biography,Drama,Music",932367,9,37,85
12 Angry Men,1957,96,"Crime,Drama",885488,9,38,99
Spirited Away,2001,124,"Adventure,Animation,Family",871891,9,39,107
"The Good, the Bad and the Ugly",1966,178,"Adventure,Drama,Western",825133,9,40,125
City of God,2002,130,"Crime,Drama",814029,9,41,133
Life Is Beautiful,1997,116,"Comedy,Drama,Romance",754880,9,42,147
Psycho,1960,109,"Horror,Mystery,Thriller",730839,9,43,168
Casablanca,1942,102,"Drama,Romance,War",614452,9,44,237
The Kashmir Files,2022,170,Drama,575170,9,45,266
Rear Window,1954,112,"Mystery,Thriller",530977,9,46,304
Dune: Part Two,2024,166,"Action,Adventure,Drama",521217,9,47,314
It's a Wonderful Life,1946,130,"Drama,Family,Fantasy",506129,9,48,324
Spider-Man: Across the Spider-Verse,2023,140,"Action,Adventure,Animation",403953,9,49,471
Seven Samurai,1954,207,"Action,Drama",372458,9,50,534
Once Upon a Time in the West,1968,166,"Drama,Western",353975,9,51,565
Grave of the Fireflies,1988,88,"Animation,Drama,War",321948,9,52,653
