primaryTitle,gross
Avatar,2923706026
Avengers: Endgame,2799439100
Avatar: The Way of Water,2320250281
Titanic,2264750694
Star Wars: Episode VII - The Force Awakens,2071310218
Avengers: Infinity War,2052415039
Spider-Man: No Way Home,1922598800
Jurassic World,1671537444
The Lion King,1663079059
Avengers Assemble,1520538536
Fast & Furious 7,1515342457
Top Gun: Maverick,1495696292
Frozen II,1453683476
Barbie,1445638421
Avengers: Age of Ultron,1405018048
The Super Mario Bros. Movie,1361992475
Inside Out 2,1350092077
Black Panther,1349926083
Harry Potter and the Deathly Hallows: Part 2,1342480797
Star Wars: Episode VIII - The Last Jedi,1334407706
Jurassic World: Fallen Kingdom,1310469037
Frozen,1285048126
Beauty and the Beast,1266115964
The Incredibles 2,1243225667
Fast & Furious 8,1236009236
Iron Man 3,1215577205
Minions,1159457503
Captain America: Civil War,1155046416
Aquaman,1152028393
The Lord of the Rings: The Return of the King,1151462071
Spider-Man: Far from Home,1132679685
Captain Marvel,1131416446
Transformers: Dark of the Moon,1123794079
Skyfall,1108594137
Transformers: Age of Extinction,1104054072
Jurassic Park,1103086582
The Dark Knight Rises,1085289416
Joker,1078958629
Star Wars: Episode IX - The Rise of Skywalker,1077022372
Toy Story 4,1073841394
Toy Story 3,1067316101
Pirates of the Caribbean: Dead Man's Chest,1066179747
Rogue One,1058684742
Aladdin,1054304000
Pirates of the Caribbean: On Stranger Tides,1046721266
Star Wars: Episode I - The Phantom Menace,1046515409
Harry Potter and the Philosopher's Stone,1037913579
Despicable Me 3,1034800131
Finding Dory,1029266989
Zootropolis,1025521689
Alice in Wonderland,1025468216
The Hobbit: An Unexpected Journey,1017106749
The Dark Knight,1008524647
Jurassic World Dominion,1001978080
The Lion King,977926709
Oppenheimer,975227046
Despicable Me 2,970766005
The Jungle Book,967724775
Jumanji: Welcome to the Jungle,962544585
The Hobbit: The Battle of the Five Armies,962253946
Pirates of the Caribbean: At World's End,961691209
Harry Potter and the Deathly Hallows: Part 1,960897696
The Hobbit: The Desolation of Smaug,959079095
Doctor Strange in the Multiverse of Madness,955775804
The Lord of the Rings: The Two Towers,951550637
Harry Potter and the Order of the Phoenix,942603391
Finding Nemo,941637960
Minions: The Rise of Gru,940203765
Harry Potter and the Half-Blood Prince,934866401
Shrek 2,932396221
Bohemian Rhapsody,910813521
The Battle at Lake Changjin,902548476
